
2024/12/15 (20:13:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/15 (20:14:08) | ===> btop++ v.1.4.0
2024/12/15 (20:14:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/15 (20:14:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/16 (23:52:23) | ===> btop++ v.1.4.0
2024/12/16 (23:52:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/16 (23:52:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/18 (22:44:27) | ===> btop++ v.1.4.0
2024/12/18 (22:44:27) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (22:44:27) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/18 (22:45:11) | ===> btop++ v.1.4.0
2024/12/18 (22:45:11) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (22:45:11) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/18 (22:46:35) | ===> btop++ v.1.4.0
2024/12/18 (22:46:35) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (22:46:35) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/18 (22:46:44) | ===> btop++ v.1.4.0
2024/12/18 (22:46:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/18 (22:46:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (08:52:47) | ===> btop++ v.1.4.0
2024/12/19 (08:52:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (08:52:47) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (08:54:08) | ===> btop++ v.1.4.0
2024/12/19 (08:54:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (08:54:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (13:02:42) | ===> btop++ v.1.4.0
2024/12/19 (13:02:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (13:02:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (13:07:14) | ===> btop++ v.1.4.0
2024/12/19 (13:07:14) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (13:07:14) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/19 (18:14:48) | ===> btop++ v.1.4.0
2024/12/19 (18:14:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/19 (18:14:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (08:36:15) | ===> btop++ v.1.4.0
2024/12/20 (08:36:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (08:36:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (08:50:51) | ===> btop++ v.1.4.0
2024/12/20 (08:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (08:50:51) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (12:45:32) | ===> btop++ v.1.4.0
2024/12/20 (12:45:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (12:45:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (13:01:54) | ===> btop++ v.1.4.0
2024/12/20 (13:01:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (13:01:54) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/20 (13:07:45) | ===> btop++ v.1.4.0
2024/12/20 (13:07:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/20 (13:07:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/21 (01:47:17) | ===> btop++ v.1.4.0
2024/12/21 (01:47:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/21 (01:47:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/21 (15:03:43) | ===> btop++ v.1.4.0
2024/12/21 (15:03:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/21 (15:03:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/21 (16:04:21) | ===> btop++ v.1.4.0
2024/12/21 (16:04:21) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/21 (16:04:21) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/12/21 (16:04:43) | ===> btop++ v.1.4.0
2024/12/21 (16:04:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/12/21 (16:04:43) | WARNING: ROCm SMI: Failed to get PCIe throughput
